Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-04-26,06:07:46,BitGet,BTCUSDT,,,78018.45,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,06:16:25,BitGet,BTCUSDT,,,78007.84,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,06:25:55,BitGet,BTCUSDT,,,77938.09,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,06:25:55,BitGet,ETHUSDT,,,2328.76,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,11:17:39,BitGet,BTCUSDT,,,78044.93,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,11:17:39,BitGet,ETHUSDT,,,2333.72,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,11:26:13,BitGet,BTCUSDT,,,78119.03,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,11:26:13,BitGet,ETHUSDT,,,2336.83,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,11:27:54,BitGet,BTCUSDT,,,78130.74,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,11:27:54,BitGet,ETHUSDT,,,2336.52,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-26,21:01:03,BitGet,BTCUSDT,BUY,0.000128,78227.82,10.00,0.0100,9.99,PAPER-1777237263028,PAPER,"All conditions met"
2026-04-26,21:01:03,BitGet,ETHUSDT,,,2364.69,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
